%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=215650, 2026/04/11 20:36:59.51)
94 1599 8.513754e-01 1.166904e+00  7.872437825374918248e+02  8.058368073687483957e+02  8.098113393504261239e+02  8.200427803383151968e+02
95 1616 8.408237e-01 1.168082e+00  7.872437825374918248e+02  8.051499633603200436e+02  8.089983440817059090e+02  8.125515162977769705e+02
96 1633 8.313097e-01 1.169032e+00  7.872437825374918248e+02  8.044312383899357428e+02  8.096224925328777999e+02  8.156008291214885730e+02
97 1650 8.228007e-01 1.170707e+00  7.872437825374918248e+02  8.030507945172846576e+02  8.083485344623956053e+02  8.167752168128998846e+02
98 1667 8.146019e-01 1.171127e+00  7.872437825374918248e+02  8.048474295919824044e+02  8.081355467340349605e+02  8.131842975982306143e+02
99 1684 8.086546e-01 1.171127e+00  7.872437825374918248e+02  8.023516157200733687e+02  8.077109480882470507e+02  8.128433608015616301e+02
100 1701 8.031532e-01 1.172676e+00  7.872437825374918248e+02  8.047591179011714075e+02  8.082271820655419106e+02  8.118344455614078470e+02
101 1718 7.984596e-01 1.173555e+00  7.872437825374918248e+02  8.038875193043878653e+02  8.087638720940730082e+02  8.135164290812692798e+02
102 1735 7.930408e-01 1.174557e+00  7.872437825374918248e+02  8.037153799448490190e+02  8.059680906793812483e+02  8.142772110543768349e+02
103 1752 7.872112e-01 1.175198e+00  7.872437825374918248e+02  8.022280733304253317e+02  8.068376522855072608e+02  8.100172944909625130e+02
104 1769 7.827193e-01 1.176149e+00  7.872437825374918248e+02  8.033000827298582180e+02  8.063233071253647495e+02  8.148874165649328916e+02
105 1786 7.782148e-01 1.176149e+00  7.872437825374918248e+02  8.040677769091792015e+02  8.088760355194106069e+02  8.275958244205401115e+02
106 1803 7.740798e-01 1.178229e+00  7.872437825374918248e+02  8.026151026809286577e+02  8.069619248417785684e+02  8.104254528701949312e+02
107 1820 7.674040e-01 1.178783e+00  7.872437825374918248e+02  8.025323845115384529e+02  8.080044415981352586e+02  8.174405600385152866e+02
108 1837 7.603378e-01 1.179303e+00  7.872437825374918248e+02  8.027282303135024222e+02  8.088030592795803386e+02  8.149506075675016064e+02
109 1854 7.531186e-01 1.180017e+00  7.872437825374918248e+02  8.014432323353239553e+02  8.064499871710788739e+02  8.156737048776628853e+02
110 1871 7.454783e-01 1.180779e+00  7.872437825374918248e+02  8.017488376120977591e+02  8.049442743628763992e+02  8.120361988792791408e+02
111 1888 7.393603e-01 1.180779e+00  7.872437825374918248e+02  8.007754618813613661e+02  8.043939082828204619e+02  8.100316458299955684e+02
112 1905 7.314619e-01 1.182324e+00  7.872437825374918248e+02  8.020920317060803200e+02  8.058309395798245305e+02  8.134623791235845829e+02
113 1922 7.234282e-01 1.183475e+00  7.872437825374918248e+02  8.013496254962921057e+02  8.052992960200161860e+02  8.080508252568915850e+02
114 1939 7.170604e-01 1.184111e+00  7.872437825374918248e+02  8.009097683517964015e+02  8.049289461868107765e+02  8.132544784422935891e+02
115 1956 7.097916e-01 1.184691e+00  7.872437825374918248e+02  7.993032816181238331e+02  8.040074154282480094e+02  8.094123842485671503e+02
116 1973 7.038949e-01 1.184691e+00  7.872437825374918248e+02  7.992045776846765648e+02  8.037562117177025129e+02  8.110293548745783028e+02
117 1990 6.963622e-01 1.185644e+00  7.872437825374918248e+02  8.006268623504706738e+02  8.042340573769533876e+02  8.106418685969231319e+02
118 2007 6.878582e-01 1.186439e+00  7.872437825374918248e+02  7.996332066486946815e+02  8.025558436220286467e+02  8.066933000493193049e+02
119 2024 6.813855e-01 1.187046e+00  7.872437825374918248e+02  7.996360176615570481e+02  8.020885915428743829e+02  8.078631850391846001e+02
120 2041 6.739982e-01 1.187380e+00  7.872437825374918248e+02  8.000828909317066291e+02  8.026340289417572649e+02  8.109748914743997830e+02
121 2058 6.670515e-01 1.188427e+00  7.872437825374918248e+02  7.987240423692635432e+02  8.054652913772575857e+02  8.109314815723330412e+02
123 2092 6.525485e-01 1.189564e+00  7.872437825374918248e+02  7.992140244182444349e+02  8.025356150376536561e+02  8.059698855682554495e+02
126 2143 6.340303e-01 1.192993e+00  7.872437825374918248e+02  7.983442836712173403e+02  8.020862726404063778e+02  8.062851686188528220e+02
130 2211 6.097222e-01 1.197625e+00  7.872437825374918248e+02  7.988152203950028252e+02  8.016148170839742306e+02  8.039751803640484695e+02
135 2296 5.771271e-01 1.203643e+00  7.872437825374918248e+02  7.966922034732594966e+02  8.001014193818242575e+02  8.096132772595574352e+02
141 2398 5.441410e-01 1.208505e+00  7.872437825374918248e+02  7.985458533431281012e+02  8.001243463935992395e+02  8.016929826467917337e+02
148 2517 5.126779e-01 1.214011e+00  7.872437825374918248e+02  7.971921693250371845e+02  8.009008952842344797e+02  8.065343531465455271e+02
156 2653 4.976029e-01 1.233584e+00  7.872437825374918248e+02  7.943788693999429142e+02  7.978827861282613867e+02  8.016591204156662798e+02
165 2806 4.629194e-01 1.252542e+00  7.872437825374918248e+02  7.944808438324531608e+02  7.975638112750897335e+02  7.995165569725381829e+02
175 2976 4.303449e-01 1.270727e+00  7.872437825374918248e+02  7.948572342152178862e+02  7.965630352668841851e+02  8.018313292377868038e+02
186 3163 4.167414e-01 1.288593e+00  7.872437825374918248e+02  7.936114983813613435e+02  7.950678672950147075e+02  7.987113493777039821e+02
198 3367 3.928115e-01 1.320823e+00  7.872437825374918248e+02  7.931345298030430513e+02  7.948038384414797974e+02  7.974514684935716105e+02
211 3588 3.480856e-01 1.349859e+00  7.872437825374918248e+02  7.928050059245430248e+02  7.936339882719050820e+02  7.961065392095026709e+02
225 3826 3.214492e-01 1.371955e+00  7.872437825374918248e+02  7.910947241870763946e+02  7.918901283425054771e+02  7.931504345814560111e+02
239 4064 2.939965e-01 1.385502e+00  7.872437825374918248e+02  7.916629895974398323e+02  7.921649429580338619e+02  7.937931963711042727e+02
253 4302 2.579504e-01 1.392628e+00  7.872437825374918248e+02  7.902865974208530133e+02  7.912171442475369076e+02  7.925545391851869681e+02
267 4540 2.530170e-01 1.401751e+00  7.872437825374918248e+02  7.907140674331214996e+02  7.913630116146906630e+02  7.946082369147509326e+02
281 4778 2.325334e-01 1.413624e+00  7.872437825374918248e+02  7.903110718500911389e+02  7.910126117449236745e+02  7.923456898623435336e+02
295 5016 2.228577e-01 1.425020e+00  7.872437825374918248e+02  7.901168701065347477e+02  7.909331998054610722e+02  7.923022044090250802e+02
309 5254 2.108121e-01 1.429505e+00  7.872437825374918248e+02  7.898217955698246442e+02  7.905747463715312051e+02  7.913395057659591885e+02
323 5492 2.130966e-01 1.434252e+00  7.872437825374918248e+02  7.898118096371947559e+02  7.905744564241905437e+02  7.919746525134756894e+02
337 5730 2.055898e-01 1.434939e+00  7.872437825374918248e+02  7.897605562626670235e+02  7.903811717667595076e+02  7.928888023217422187e+02
351 5968 1.868535e-01 1.435173e+00  7.872437825374918248e+02  7.894081707404130839e+02  7.897734400383626507e+02  7.905140154435486011e+02
365 6206 1.653599e-01 1.437160e+00  7.872437825374918248e+02  7.890105201203483603e+02  7.895295763807316689e+02  7.901423595718722481e+02
379 6444 1.563166e-01 1.440719e+00  7.872437825374918248e+02  7.889446186259963270e+02  7.891830461161910080e+02  7.903688109555058645e+02
393 6682 1.488882e-01 1.442094e+00  7.872437825374918248e+02  7.887904155582845078e+02  7.893180007776306866e+02  7.899001362325932405e+02
407 6920 1.416397e-01 1.452164e+00  7.872437825374918248e+02  7.884449088898311402e+02  7.890498593010862578e+02  7.899809618182702025e+02
421 7158 1.352997e-01 1.458205e+00  7.872437825374918248e+02  7.887308152676243935e+02  7.889661924227839336e+02  7.893825546205824821e+02
435 7396 1.213335e-01 1.462752e+00  7.872437825374918248e+02  7.883329090398301560e+02  7.887106202137380251e+02  7.902708348498783835e+02
449 7634 1.109189e-01 1.470516e+00  7.872437825374918248e+02  7.881702595967462912e+02  7.884870102713847473e+02  7.887951108736832566e+02
463 7872 1.049475e-01 1.475638e+00  7.872437825374918248e+02  7.878112711696740007e+02  7.881502119701292486e+02  7.885839859135352299e+02
477 8110 1.003868e-01 1.483642e+00  7.872437825374918248e+02  7.878858978682620773e+02  7.881214600468116487e+02  7.883812705534041925e+02
491 8348 9.590528e-02 1.508569e+00  7.872437825374918248e+02  7.878158929107687527e+02  7.879706686939950941e+02  7.885697435514339304e+02
505 8586 9.398173e-02 1.535106e+00  7.872437825374918248e+02  7.877004715677583135e+02  7.879564360530973772e+02  7.885403226153030118e+02
519 8824 8.807057e-02 1.551361e+00  7.872437825374918248e+02  7.876746781419724357e+02  7.878446451503991739e+02  7.881208870608411416e+02
